pl;16-300;Augustów;pl
pl;16-300;Augustów;pl
pl;16-304;Nowinka;pl
pl;16-320;Bargłów Kościelny;pl
pl;16-326;Płaska;pl
pl;16-302;Augustów;pl
pl;16-303;Augustów;pl
pl;15-001;Białystok;pl
pl;15-001;Białystok;pl
pl;15-001;Białystok;pl
pl;15-001;Białystok;pl
pl;15-086;Białystok;pl
pl;15-026;Białystok;pl
pl;15-644;Białystok;pl
pl;15-219;Białystok;pl
pl;15-900;Białystok;pl
pl;15-900;Dobrzyniewo Duże;pl
pl;15-214;Białystok;pl
pl;15-566;Białystok;pl
pl;15-530;Białystok;pl
pl;15-428;Białystok;pl
pl;15-344;Białystok;pl
pl;15-050;Białystok;pl
pl;15-436;Białystok;pl
pl;15-770;Białystok;pl
pl;15-821;Białystok;pl
pl;15-641;Białystok;pl
pl;15-308;Białystok;pl
pl;15-792;Białystok;pl
pl;15-880;Białystok;pl
pl;15-378;Białystok;pl
pl;15-859;Białystok;pl
pl;15-664;Białystok;pl
pl;15-471;Białystok;pl
pl;15-807;Białystok;pl
pl;15-168;Białystok;pl
pl;15-057;Białystok;pl
pl;15-212;Białystok;pl
pl;15-148;Białystok;pl
pl;15-662;Białystok;pl
pl;15-100;Białystok;pl
pl;15-675;Białystok;pl
pl;15-154;Białystok;pl
pl;15-280;Białystok;pl
pl;15-775;Białystok;pl
pl;15-699;Białystok;pl
pl;15-330;Białystok;pl
pl;15-447;Białystok;pl
pl;15-695;Białystok;pl
pl;17-100;Bielsk Podlaski;pl
pl;17-100;Bielsk Podlaski;pl
pl;17-106;Orla;pl
pl;17-111;Boćki;pl
pl;17-102;Bielsk Podlaski;pl
pl;17-120;Brańsk;pl
pl;16-070;Choroszcz;pl
pl;18-230;Ciechanowiec;pl
pl;18-214;Klukowo;pl
pl;16-020;Czarna Białostocka;pl
pl;16-200;Dąbrowa Białostocka;pl
pl;16-200;Sidra;pl
pl;16-200;Nowy Dwór;pl
pl;16-424;Filipów;pl
pl;19-200;Grajewo;pl
pl;19-200;Grajewo;pl
pl;19-200;Grajewo;pl
pl;19-206;Rajgród;pl
pl;19-203;Grajewo;pl
pl;17-315;Grodzisk;pl
pl;17-322;Perlejewo;pl
pl;16-040;Gródek;pl
pl;16-050;Michałowo;pl
pl;16-120;Krynki;pl
pl;17-200;Hajnówka;pl
pl;17-200;Hajnówka;pl
pl;17-201;Hajnówka;pl
pl;17-230;Białowieża;pl
pl;17-210;Narew;pl
pl;17-220;Narewka;pl
pl;18-420;Jedwabne;pl
pl;18-420;Przytuły;pl
pl;18-430;Wizna;pl
pl;16-001;Kleosin;pl
pl;16-001;Juchnowiec Kościelny;pl
pl;17-250;Kleszczele;pl
pl;19-120;Knyszyn;pl
pl;19-120;Krypno Kościelne;pl
pl;18-500;Kolno;pl
pl;18-500;Kolno;pl
pl;18-500;Mały Płock;pl
pl;18-525;Turośl;pl
pl;16-315;Lipsk;pl
pl;18-100;Łapy;pl
pl;18-100;Łapy;pl
pl;18-100;Poświętne;pl
pl;18-100;Turośń Kościelna;pl
pl;18-104;Suraż;pl
pl;18-400;Łomża;pl
pl;18-400;Łomża;pl
pl;18-400;Łomża;pl
pl;18-411;Śniadowo;pl
pl;18-421;Piątnica Poduchowna;pl
pl;18-401;Łomża;pl
pl;18-402;Łomża;pl
pl;18-403;Łomża;pl
pl;18-404;Łomża;pl
pl;18-404;Łomża;pl
pl;19-100;Mońki;pl
pl;19-100;Trzcianne;pl
pl;19-100;Jaświły;pl
pl;19-122;Jasionówka;pl
pl;19-110;Goniądz;pl
pl;19-101;Mońki;pl
pl;16-407;Wiżajny;pl
pl;16-406;Rutka-Tartak;pl
pl;16-411;Szypliszki;pl
pl;16-500;Sejny;pl
pl;16-503;Krasnopol;pl
pl;16-515;Puńsk;pl
pl;17-300;Siemiatycze;pl
pl;17-300;Siemiatycze;pl
pl;17-300;Mielnik;pl
pl;17-330;Nurzec-Stacja;pl
pl;17-312;Drohiczyn;pl
pl;18-218;Sokoły;pl
pl;18-212;Nowe Piekuty;pl
pl;18-204;Kobylin-Borzymy;pl
pl;16-100;Sokółka;pl
pl;16-100;Sokółka;pl
pl;16-102;Sokółka;pl
pl;16-123;Kuźnica;pl
pl;18-520;Stawiski;pl
pl;18-520;Grabowo;pl
pl;16-150;Suchowola;pl
pl;16-150;Korycin;pl
pl;16-130;Janów;pl
pl;16-030;Supraśl;pl
pl;16-400;Suwałki;pl
pl;16-400;Suwałki;pl
pl;16-400;Suwałki;pl
pl;16-400;Suwałki;pl
pl;16-400;Bakałarzewo;pl
pl;16-400;Suwałki;pl
pl;16-400;Jeleniewo;pl
pl;16-427;Przerośl;pl
